timestamp,elapsed_sec,latency_ms,type
1767954668.4393768,1025.05,0.27,send_ack_simulated
1767954668.4395278,1025.05,0.01,send_ack_simulated
1767954668.4397266,1025.05,0.09,send_ack_simulated
1767954668.4398792,1025.05,0.02,send_ack_simulated
1767954696.4508197,1053.06,1.01,send_ack_simulated
1767954696.451707,1053.06,0.09,send_ack_simulated
1767954696.4527044,1053.06,0.08,send_ack_simulated
1767954696.4530838,1053.06,0.50,send_ack_simulated
1767954696.4533072,1053.06,1.56,send_ack_simulated
1767954696.4537013,1053.06,0.02,send_ack_simulated
1767954696.4541037,1053.06,0.37,send_ack_simulated
1767954696.4543169,1053.06,0.02,send_ack_simulated
1767954696.4546468,1053.06,0.06,send_ack_simulated
1767954696.454886,1053.06,0.73,send_ack_simulated
1767954696.4551468,1053.06,0.28,send_ack_simulated
1767954696.4553437,1053.06,0.04,send_ack_simulated
1767954724.464636,1081.07,0.36,send_ack_simulated
1767954724.4667053,1081.08,0.02,send_ack_simulated
1767954724.4677885,1081.08,0.07,send_ack_simulated
1767954724.4696267,1081.08,0.34,send_ack_simulated
1767954724.4707367,1081.08,0.01,send_ack_simulated
1767954724.47103,1081.08,0.02,send_ack_simulated
1767954724.4714158,1081.08,0.44,send_ack_simulated
1767954724.4719138,1081.08,0.04,send_ack_simulated
1767954724.4721444,1081.08,0.01,send_ack_simulated
1767954752.484212,1109.09,1.01,send_ack_simulated
1767954752.486326,1109.09,0.21,send_ack_simulated
1767954752.4879694,1109.10,0.10,send_ack_simulated
1767954752.4883122,1109.10,0.02,send_ack_simulated
1767954752.4888136,1109.10,0.09,send_ack_simulated
1767954752.4891016,1109.10,0.64,send_ack_simulated
1767954752.4893622,1109.10,0.72,send_ack_simulated
1767954752.4895744,1109.10,0.30,send_ack_simulated
1767954752.4898047,1109.10,0.03,send_ack_simulated
1767954752.4901412,1109.10,0.11,send_ack_simulated
1767954780.5021732,1137.11,0.77,send_ack_simulated
1767954780.5036197,1137.11,0.02,send_ack_simulated
